,Dem_age,Dem_gender,Country,Scale_PSS10_UCLA_1,Scale_PSS10_UCLA_2,Scale_PSS10_UCLA_3,Scale_PSS10_UCLA_4,Scale_PSS10_UCLA_5,Scale_PSS10_UCLA_6,Scale_PSS10_UCLA_7,Scale_PSS10_UCLA_8,Scale_PSS10_UCLA_9,Scale_PSS10_UCLA_10,Scale_Lon_1,Scale_Lon_2,Scale_Lon_3,OECD_insititutions_1,OECD_insititutions_2,OECD_insititutions_3,OECD_insititutions_4,OECD_insititutions_5,OECD_insititutions_6,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6,PSS10_avg,Lon_avg,SPS_avg
74828,47,Female,United States,3,3,4,3,2,3,3,4,4,4,4,4,3,0,7,5,NA,6,1,6,6,5,6,6,4,6,6,6,4,2,3.3,3.666667,NA
74912,46,Female,United States,2,3,3,4,3,3,4,3,3,2,5,5,5,4,5,6,7,10,3,4,4,4,4,4,5,5,5,4,3,2,2.6,5,4.5
74913,44,Other/would rather not say,United States,2,2,3,3,1,4,3,2,3,3,5,4,4,NA,3,NA,NA,5,NA,6,6,6,6,6,6,5,5,1,1,4,3.2,4.333333,1.4
74955,19,Male,United States,3,2,3,4,4,3,4,4,2,3,3,2,4,2,3,8,3,7,4,2,4,3,6,6,6,3,2,4,3,1,2.4,3,NA
74959,34,Male,United States,2,3,4,4,4,2,5,3,3,2,3,2,4,6,7,8,7,9,4,4,5,5,6,6,5,5,5,2,5,2,2.4,3,5.3
75024,29,Female,United States,3,4,4,3,3,3,3,3,3,3,3,3,3,0,5,5,2,6,0,6,6,6,6,6,6,6,6,3,1,2,3.2,3,NA
75039,55,Female,United States,3,3,4,2,3,3,3,3,4,2,1,2,3,4,7,7,7,NA,7,6,6,6,6,6,4,5,5,1,1,5,3.2,2,5.7
75054,25,Female,United States,2,1,3,3,1,1,3,3,2,1,3,2,2,2,3,4,3,7,0,4,6,4,4,4,5,5,5,1,2,4,2.4,2.333333,3.8
75069,34,Male,United States,3,5,5,3,2,3,3,2,4,5,4,3,3,1,0,5,0,9,0,5,6,5,5,5,5,5,5,2,2,4,3.9,3.333333,4.4
75073,29,Male,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75099,31,Male,United States,3,5,5,3,3,3,3,3,1,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.333333,NA
75158,25,Female,United States,3,4,4,3,3,4,3,4,4,2,3,2,5,2,4,6,6,8,4,4,6,4,5,5,5,5,6,1,3,4,3.2,3.333333,5.9
75165,23,Female,United States,2,4,3,3,1,3,3,3,3,2,5,3,5,7,8,7,8,7,10,3,4,3,5,6,6,5,5,6,2,2,3.1,4.333333,4.9
75186,30,Female,United States,3,3,5,3,2,3,3,3,2,3,1,1,1,NA,3,NA,4,4,NA,6,6,6,6,6,6,6,6,1,4,3,3.2,1,6
75342,44,Female,United States,1,2,4,5,4,3,2,3,2,3,2,3,4,8,9,8,9,9,9,5,5,5,6,6,6,6,5,2,3,4,2.5,3,5.9
75388,27,Female,United States,3,4,4,4,2,3,3,3,4,3,5,2,5,2,7,5,6,6,3,4,6,4,5,5,5,4,5,2,1,2,3.3,4,4.7
75392,26,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75412,77,Female,United States,2,2,3,4,3,1,5,3,2,2,5,4,5,1,7,1,3,9,2,5,5,5,5,6,5,4,5,6,4,3,2.1,4.666667,5.1
75482,39,Female,United States,2,1,3,3,4,3,3,2,3,2,2,3,3,5,7,7,7,9,2,2,3,3,5,5,5,5,5,2,5,1,2.6,2.666667,5.1
75614,40,Female,United States,2,2,4,4,4,3,4,3,3,2,3,2,5,NA,NA,3,3,NA,NA,5,6,6,5,6,5,5,5,2,3,5,2.5,3.333333,5.8
